fecha_hora,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,fecha,hora,dia_semana,viene_de_10m,viene_de_100m,viene_de_10m_detalle,viene_de_100m_detalle,va_hacia_10m,va_hacia_100m
2026-09-15 00:00:00,5.5596404,7.653705,330.9455,311.18582,2026-09-15,0,Tuesday,Noroeste,Noroeste,Nornoroeste,Noroeste,Sureste,Sureste
2026-09-15 01:00:00,5.6492476,8.0899935,329.3494,302.27563,2026-09-15,1,Tuesday,Noroeste,Noroeste,Nornoroeste,Oestenoroeste,Sureste,Sureste
2026-09-15 02:00:00,6.0347,8.297589,342.64587,319.39877,2026-09-15,2,Tuesday,Norte,Noroeste,Nornoroeste,Noroeste,Sur,Sureste
2026-09-15 03:00:00,5.2478566,7.2044983,354.09393,347.00537,2026-09-15,3,Tuesday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
2026-09-15 04:00:00,6.898956,10.390226,352.50424,345.9637,2026-09-15,4,Tuesday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
2026-09-15 05:00:00,6.8399997,10.694485,360.0,353.23392,2026-09-15,5,Tuesday,Norte,Norte,Norte,Norte,Sur,Sur
2026-09-15 06:00:00,7.5942073,11.226575,354.55975,347.96942,2026-09-15,6,Tuesday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
2026-09-15 07:00:00,7.2044983,11.367109,347.00537,349.04596,2026-09-15,7,Tuesday,Norte,Norte,Nornoroeste,Norte,Sur,Sur
2026-09-15 08:00:00,4.6277857,6.299999,283.49576,306.86996,2026-09-15,8,Tuesday,Oeste,Noroeste,Oestenoroeste,Noroeste,Este,Sureste
2026-09-15 09:00:00,2.4014995,3.4388947,257.00537,317.1211,2026-09-15,9,Tuesday,Oeste,Noroeste,Oestesuroeste,Noroeste,Este,Sureste
2026-09-15 10:00:00,3.319036,3.4576871,167.4712,141.34016,2026-09-15,10,Tuesday,Sur,Sureste,Sursureste,Sureste,Norte,Noroeste
2026-09-15 11:00:00,9.56713,11.212135,191.94415,185.52745,2026-09-15,11,Tuesday,Sur,Sur,Sursuroeste,Sur,Norte,Norte
2026-09-15 12:00:00,9.449572,11.39842,197.74477,195.5726,2026-09-15,12,Tuesday,Sur,Sur,Sursuroeste,Sursuroeste,Norte,Norte
2026-09-15 13:00:00,8.790563,10.874741,190.6196,192.42593,2026-09-15,13,Tuesday,Sur,Sur,Sur,Sursuroeste,Norte,Norte
2026-09-15 14:00:00,6.8138976,8.297589,167.79955,167.4712,2026-09-15,14,Tuesday,Sur,Sur,Sursureste,Sursureste,Norte,Norte
2026-09-15 15:00:00,7.841887,9.927779,238.13406,247.61981,2026-09-15,15,Tuesday,Suroeste,Oeste,Oestesuroeste,Oestesuroeste,Noreste,Este
2026-09-15 16:00:00,8.0599,10.285232,209.42737,212.85571,2026-09-15,16,Tuesday,Suroeste,Suroeste,Sursuroeste,Sursuroeste,Noreste,Noreste
2026-09-15 17:00:00,5.634891,7.6642804,243.43501,260.53775,2026-09-15,17,Tuesday,Suroeste,Oeste,Oestesuroeste,Oeste,Noreste,Este
