fecha_hora,wind_speed_10m,wind_speed_100m,wind_direction_10m,wind_direction_100m,fecha,hora,dia_semana,viene_de_10m,viene_de_100m,viene_de_10m_detalle,viene_de_100m_detalle,va_hacia_10m,va_hacia_100m
2026-09-14 00:00:00,3.4763772,5.3517847,21.25058,109.653915,2026-09-14,0,Monday,Norte,Este,Nornoreste,Estesureste,Sur,Oeste
2026-09-14 01:00:00,1.835647,2.5264204,348.6901,274.08554,2026-09-14,1,Monday,Norte,Oeste,Nornoroeste,Oeste,Sur,Este
2026-09-14 02:00:00,3.438895,4.3274937,353.9911,315.0001,2026-09-14,2,Monday,Norte,Noroeste,Norte,Noroeste,Sur,Sureste
2026-09-14 03:00:00,3.0811036,4.5891175,353.29025,295.5599,2026-09-14,3,Monday,Norte,Noroeste,Norte,Oestenoroeste,Sur,Sureste
2026-09-14 04:00:00,3.4247334,3.8268526,3.0127327,318.81415,2026-09-14,4,Monday,Norte,Noroeste,Norte,Noroeste,Sur,Sureste
2026-09-14 05:00:00,2.7059932,2.0523157,3.8140097,344.7448,2026-09-14,5,Monday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
2026-09-14 06:00:00,5.2200003,5.6262593,360.0,7.3522935,2026-09-14,6,Monday,Norte,Norte,Norte,Norte,Sur,Sur
2026-09-14 07:00:00,4.669604,5.2939587,332.44727,342.18103,2026-09-14,7,Monday,Noroeste,Norte,Nornoroeste,Nornoroeste,Sureste,Sur
2026-09-14 08:00:00,3.244996,3.84796,250.55988,280.78424,2026-09-14,8,Monday,Oeste,Oeste,Oestesuroeste,Oeste,Este,Este
2026-09-14 09:00:00,4.91634,5.154415,203.7495,204.77512,2026-09-14,9,Monday,Suroeste,Suroeste,Sursuroeste,Sursuroeste,Noreste,Noreste
2026-09-14 10:00:00,7.229191,8.085988,198.88618,196.82149,2026-09-14,10,Monday,Sur,Sur,Sursuroeste,Sursuroeste,Norte,Norte
2026-09-14 11:00:00,10.874741,12.992458,192.42593,190.3758,2026-09-14,11,Monday,Sur,Sur,Sursuroeste,Sur,Norte,Norte
2026-09-14 12:00:00,13.379461,17.146357,185.4037,184.2141,2026-09-14,12,Monday,Sur,Sur,Sur,Sur,Norte,Norte
2026-09-14 13:00:00,9.56713,12.049249,191.94415,193.82867,2026-09-14,13,Monday,Sur,Sur,Sursuroeste,Sursuroeste,Norte,Norte
2026-09-14 14:00:00,7.9077177,10.096059,191.82146,191.30989,2026-09-14,14,Monday,Sur,Sur,Sursuroeste,Sursuroeste,Norte,Norte
2026-09-14 15:00:00,8.880405,11.799271,197.70052,201.47685,2026-09-14,15,Monday,Sur,Sur,Sursuroeste,Sursuroeste,Norte,Norte
2026-09-14 16:00:00,6.015878,7.8954163,218.92755,226.8476,2026-09-14,16,Monday,Suroeste,Suroeste,Suroeste,Suroeste,Noreste,Noreste
2026-09-14 17:00:00,4.669604,6.037383,242.44727,259.69522,2026-09-14,17,Monday,Suroeste,Oeste,Oestesuroeste,Oeste,Noreste,Este
2026-09-14 18:00:00,5.04,8.035746,270.0,285.59286,2026-09-14,18,Monday,Oeste,Oeste,Oeste,Oestenoroeste,Este,Este
2026-09-14 19:00:00,1.1384199,2.7416782,18.435053,336.8014,2026-09-14,19,Monday,Norte,Noroeste,Nornoreste,Nornoroeste,Sur,Sureste
2026-09-14 20:00:00,2.5071096,4.143911,68.96242,87.5105,2026-09-14,20,Monday,Este,Este,Estenoreste,Este,Oeste,Oeste
2026-09-14 21:00:00,3.096837,6.830519,54.46224,108.43504,2026-09-14,21,Monday,Noreste,Este,Noreste,Estesureste,Suroeste,Oeste
2026-09-14 22:00:00,0.8049845,4.8733153,296.56497,175.76369,2026-09-14,22,Monday,Noroeste,Sur,Oestenoroeste,Sur,Sureste,Norte
2026-09-14 23:00:00,8.669949,12.936227,311.63345,291.2093,2026-09-14,23,Monday,Noroeste,Oeste,Noroeste,Oestenoroeste,Sureste,Este
2026-09-15 00:00:00,4.755544,8.209263,330.5242,307.87503,2026-09-15,0,Tuesday,Noroeste,Noroeste,Nornoroeste,Noroeste,Sureste,Sureste
2026-09-15 01:00:00,2.4482648,6.1437774,323.97253,275.04236,2026-09-15,1,Tuesday,Noroeste,Oeste,Noroeste,Oeste,Sureste,Este
2026-09-15 02:00:00,2.8174455,5.7628117,333.43503,308.65982,2026-09-15,2,Tuesday,Noroeste,Noroeste,Nornoroeste,Noroeste,Sureste,Sureste
2026-09-15 03:00:00,2.5455842,4.4456716,351.87,328.24057,2026-09-15,3,Tuesday,Norte,Noroeste,Norte,Nornoroeste,Sur,Sureste
2026-09-15 04:00:00,2.6999998,4.613762,360.0,339.44388,2026-09-15,4,Tuesday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
2026-09-15 05:00:00,4.143911,6.206738,2.4894993,343.1415,2026-09-15,5,Tuesday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
2026-09-15 06:00:00,4.8899083,6.5024605,6.3401003,355.23645,2026-09-15,6,Tuesday,Norte,Norte,Norte,Norte,Sur,Sur
2026-09-15 07:00:00,5.3699164,6.4624763,346.42953,347.125,2026-09-15,7,Tuesday,Norte,Norte,Nornoroeste,Nornoroeste,Sur,Sur
2026-09-15 08:00:00,2.34,3.6,270.0,306.86996,2026-09-15,8,Tuesday,Oeste,Noroeste,Oeste,Noroeste,Este,Sureste
2026-09-15 09:00:00,1.484318,0.5091169,194.03627,135.0001,2026-09-15,9,Tuesday,Sur,Sureste,Sursuroeste,Sureste,Norte,Noroeste
2026-09-15 10:00:00,4.323748,4.412754,182.3859,168.23174,2026-09-15,10,Tuesday,Sur,Sur,Sur,Sursureste,Norte,Norte
2026-09-15 11:00:00,7.4672885,8.528657,195.37631,187.27492,2026-09-15,11,Tuesday,Sur,Sur,Sursuroeste,Sur,Norte,Norte
2026-09-15 12:00:00,11.304229,13.934604,189.16228,185.93143,2026-09-15,12,Tuesday,Sur,Sur,Sur,Sur,Norte,Norte
2026-09-15 13:00:00,10.390226,12.496719,194.03627,191.6336,2026-09-15,13,Tuesday,Sur,Sur,Sursuroeste,Sursuroeste,Norte,Norte
2026-09-15 14:00:00,11.466438,14.529915,222.45515,228.01286,2026-09-15,14,Tuesday,Suroeste,Suroeste,Suroeste,Suroeste,Noreste,Noreste
2026-09-15 15:00:00,9.614426,12.097553,218.15727,226.80872,2026-09-15,15,Tuesday,Suroeste,Suroeste,Suroeste,Suroeste,Noreste,Noreste
2026-09-15 16:00:00,7.9567327,10.348043,217.64769,229.93927,2026-09-15,16,Tuesday,Suroeste,Suroeste,Suroeste,Suroeste,Noreste,Noreste
2026-09-15 17:00:00,5.634891,7.7734165,206.56499,227.81563,2026-09-15,17,Tuesday,Suroeste,Suroeste,Sursuroeste,Suroeste,Noreste,Noreste
2026-09-15 18:00:00,2.5772076,3.462369,24.775122,8.97255,2026-09-15,18,Tuesday,Noreste,Norte,Nornoreste,Norte,Suroeste,Sur
2026-09-15 19:00:00,2.50064,4.73506,300.25635,278.74606,2026-09-15,19,Tuesday,Noroeste,Oeste,Oestenoroeste,Oeste,Sureste,Este
2026-09-15 20:00:00,1.3708391,2.4149535,113.19862,153.43501,2026-09-15,20,Tuesday,Sureste,Sureste,Estesureste,Sursureste,Noroeste,Noroeste
2026-09-15 21:00:00,2.4482648,5.896202,126.027466,148.73633,2026-09-15,21,Tuesday,Sureste,Sureste,Sureste,Sursureste,Noroeste,Noroeste
2026-09-15 22:00:00,2.2553935,1.835647,331.38962,348.6901,2026-09-15,22,Tuesday,Noroeste,Norte,Nornoroeste,Nornoroeste,Sureste,Sur
2026-09-15 23:00:00,3.9966483,8.32877,305.83774,276.20334,2026-09-15,23,Tuesday,Noroeste,Oeste,Noroeste,Oeste,Sureste,Este
2026-09-16 00:00:00,0.742159,3.0758414,345.9637,290.55612,2026-09-16,0,Wednesday,Norte,Oeste,Nornoroeste,Oestenoroeste,Sur,Este
2026-09-16 01:00:00,1.2074767,4.7657523,333.43503,280.88547,2026-09-16,1,Wednesday,Noroeste,Oeste,Nornoroeste,Oeste,Sureste,Este
2026-09-16 02:00:00,1.8089776,3.536439,5.7105074,345.25638,2026-09-16,2,Wednesday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
2026-09-16 03:00:00,3.0652895,4.86,3.3664,360.0,2026-09-16,3,Wednesday,Norte,Norte,Norte,Norte,Sur,Sur
2026-09-16 04:00:00,5.232399,8.101999,3.9451082,358.727,2026-09-16,4,Wednesday,Norte,Norte,Norte,Norte,Sur,Sur
2026-09-16 05:00:00,6.482499,9.499157,1.5911111,350.18076,2026-09-16,5,Wednesday,Norte,Norte,Norte,Norte,Sur,Sur
2026-09-16 06:00:00,7.7420926,11.367109,358.66782,349.04596,2026-09-16,6,Wednesday,Norte,Norte,Norte,Norte,Sur,Sur
2026-09-16 07:00:00,7.69592,11.050591,349.21573,347.77487,2026-09-16,7,Wednesday,Norte,Norte,Norte,Nornoroeste,Sur,Sur
2026-09-16 08:00:00,5.6521144,8.93859,322.76508,334.98312,2026-09-16,8,Wednesday,Noroeste,Noroeste,Noroeste,Nornoroeste,Sureste,Sureste
2026-09-16 09:00:00,3.396233,3.84796,237.99466,259.21576,2026-09-16,9,Wednesday,Suroeste,Oeste,Oestesuroeste,Oeste,Noreste,Este
2026-09-16 10:00:00,2.7475805,2.3051248,211.60745,218.65984,2026-09-16,10,Wednesday,Suroeste,Suroeste,Sursuroeste,Suroeste,Noreste,Noreste
2026-09-16 11:00:00,6.0721655,6.6818557,191.9761,184.63538,2026-09-16,11,Wednesday,Sur,Sur,Sursuroeste,Sur,Norte,Norte
2026-09-16 12:00:00,11.276968,13.917154,188.25935,185.19434,2026-09-16,12,Wednesday,Sur,Sur,Sur,Sur,Norte,Norte
2026-09-16 13:00:00,10.299397,12.785069,185.01303,181.61351,2026-09-16,13,Wednesday,Sur,Sur,Sur,Sur,Norte,Norte
